Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800073152,01/20/2018 07:52:00 PM,20180065699,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3600,LIPTON PL ,341C,S,35,8925,36.064,-86.611,"(36.064, -86.611)"
PD201800073252,01/20/2018 08:23:00 PM,20180066065,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2200,SUMMITT AV ,623C,N,23,3115,36.199,-86.83,"(36.199, -86.83)"
PD201800074724,01/21/2018 08:50:00 AM,20180066950,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1300,S GRAYCROFT AV ,727A,M,23,1799,36.246,-86.735,"(36.246, -86.735)"
PD201800077820,01/22/2018 09:55:00 AM,20180069595,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1600,17TH AV S ,815A,MT,15,6621,36.137,-86.796,"(36.137, -86.796)"
PD201800077877,01/22/2018 10:17:00 AM,20180070000,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2100,RIVERSIDE DR ,2F14,E,17,1437,36.203,-86.723,"(36.203, -86.723)"
PD201800077941,01/22/2018 10:37:00 AM,20180069721,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,DEADERICK ST ,724B9,C,15,4161,36.166,-86.78,"(36.166, -86.78)"
PD201800079016,01/22/2018 04:29:00 PM,20180070653,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,JACKSONIAN DR ,524B,H,21,9601,36.206,-86.639,"(36.206, -86.639)"
PD201800082727,01/23/2018 03:13:00 PM,20180073999,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3600,RICHLAND AV ,113B,W,13,5211,36.135,-86.826,"(36.135, -86.826)"
PD201800083488,01/23/2018 06:07:00 PM,20180075048,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3000,CHATEAU VALLEY DR ,623B,N,23,3015,36.213,-86.812,"(36.213, -86.812)"
PD201800087949,01/24/2018 07:12:00 PM,20180078721,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,900,5TH AV N ,STATE,C,13,4217,36.171,-86.786,"(36.171, -86.786)"
PD201800089657,01/25/2018 05:49:00 AM,20180080299,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,7000,COLLINSWOOD DR ,125C,W,25,4809,36.051,-86.959,"(36.051, -86.959)"
PD201800090043,01/25/2018 08:30:00 AM,20180080635,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,7200,OLD HICKORY BLVD ,623A,N,27,3303,36.277,-86.819,"(36.277, -86.819)"
PD201800090149,01/25/2018 09:15:00 AM,20180080782,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,VULCAN DR ,833A,MT,31,8511,36.092,-86.748,"(36.092, -86.748)"
PD201800090824,01/25/2018 12:54:00 PM,20180081337,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,7200,OLD HICKORY BLVD ,6S42,N,27,3303,36.277,-86.819,"(36.277, -86.819)"
PD201800092076,01/25/2018 06:31:00 PM,20180082471,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2300,BURNS ST ,217B,E,17,1405,36.2,-86.729,"(36.2, -86.729)"
PD201800095196,01/26/2018 01:24:00 PM,20180085386,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,800,4TH AV S ,425A,C,25,4005,36.152,-86.771,"(36.152, -86.771)"
PD201800095622,01/26/2018 03:32:00 PM,20180085657,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2100,RIVERSIDE DR ,217B,E,17,1437,36.203,-86.723,"(36.203, -86.723)"
PD201800098656,01/27/2018 10:39:00 AM,20180088452,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1000,MORTON MILL RD ,125A,W,25,4811,36.072,-86.957,"(36.072, -86.957)"
PD201800098738,01/27/2018 11:22:00 AM,20180088409,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,HICKORY TRACE DR ,833A,MT,35,8655,36.047,-86.717,"(36.047, -86.717)"
PD201800098774,01/27/2018 11:27:00 AM,20180088450,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,GREEN HILLS VILLAGE DR ,115A,W,17,6109,36.108,-86.817,"(36.108, -86.817)"
PD201800100481,01/28/2018 12:15:00 AM,20180089829,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,VAUGHNS GAP RD ,125C,W,21,4909,36.099,-86.894,"(36.099, -86.894)"
PD201800100826,01/28/2018 02:45:00 AM,20180090296,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,CARNAVON PKWY ,125C,W,21,4903,36.091,-86.905,"(36.091, -86.905)"
PD201800102283,01/28/2018 05:43:00 PM,20180091377,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4600,LEBANON PKE ,522B,H,25,9727,36.217,-86.596,"(36.217, -86.596)"
PD201800102623,01/28/2018 08:37:00 PM,20180091637,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,600,WHISPERING HILLS DR ,831B,MT,31,8661,36.067,-86.726,"(36.067, -86.726)"
PD201800104441,01/29/2018 11:15:00 AM,20180093295,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,5200,EDMONDSON PKE ,832A,MT,35,8657,36.056,-86.739,"(36.056, -86.739)"
PD201800105083,01/29/2018 02:47:00 PM,20180093909,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,0,MUSIC SQ E ,811B,MT,11,6719,36.15,-86.792,"(36.15, -86.792)"
PD201800106057,01/29/2018 07:05:00 PM,20180094843,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4000,ALICIA LN ,535B,H,35,8929,36.076,-86.612,"(36.076, -86.612)"
PD201800110087,01/30/2018 05:36:00 PM,20180098413,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,BELLEVUE RD ,123B,W,25,4817,36.064,-86.926,"(36.064, -86.926)"
PD201800113794,01/31/2018 02:30:00 PM,20180101928,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,BNA DR ,531B,H,31,8951,36.139,-86.698,"(36.139, -86.698)"
PD201800118668,02/01/2018 04:25:00 PM,20180106361,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1300,12TH AV S ,820B,MT,11,6631,36.14,-86.788,"(36.14, -86.788)"
PD201800120547,02/02/2018 01:13:00 AM,20180108011,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV N ,412C,C,11,4159,36.166,-86.78,"(36.166, -86.78)"
PD201800122262,02/02/2018 11:51:00 AM,20180109823,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2700,OLD MATTHEWS RD ,621A,N,21,3047,36.219,-86.793,"(36.219, -86.793)"
PD201800123385,02/02/2018 05:49:00 PM,20180110580,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,BROADWAY ,413B,C,23,4077,36.157,-86.785,"(36.157, -86.785)"
PD201800126167,02/03/2018 01:25:00 PM,20180113007,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,KNOLLS PL ,832A,MT,35,8651,36.043,-86.717,"(36.043, -86.717)"
PD201800127593,02/03/2018 10:50:00 PM,20180114206,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,11TH AV S ,421C,C,23,4017,36.152,-86.784,"(36.152, -86.784)"
PD201800128189,02/04/2018 03:33:00 AM,20180114777,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1600,17TH AV S ,813C,MT,15,6621,36.137,-86.796,"(36.137, -86.796)"
PD201800129116,02/04/2018 02:08:00 PM,20180115572,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1300,14TH AV S ,813A,MT,11,6631,36.14,-86.79,"(36.14, -86.79)"
PD201800131289,02/05/2018 07:41:00 AM,20180117470,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1200,8TH AV S ,825A,MT,21,6941,36.14,-86.777,"(36.14, -86.777)"
PD201800132125,02/05/2018 01:25:00 PM,20180118188,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,613A,N,11,4401,36.193,-86.79,"(36.193, -86.79)"
PD201800132194,02/05/2018 01:48:00 PM,20180118233,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,GREAT CIRCLE RD ,613A,N,11,4443,36.199,-86.808,"(36.199, -86.808)"
PD201800134249,02/06/2018 12:42:00 AM,20180120284,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1600,HICKORY HOLLOW TER ,325C,S,25,8861,36.053,-86.651,"(36.053, -86.651)"
PD201800135268,02/06/2018 08:05:00 AM,20180121072,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2900,KRAFT DR ,821A,MT,25,8525,36.106,-86.758,"(36.106, -86.758)"
PD201800136097,02/06/2018 12:22:00 PM,20180121879,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4000,HILLSBORO PKE ,825A,MT,25,6405,36.103,-86.816,"(36.103, -86.816)"
PD201800136516,02/06/2018 02:21:00 PM,20180122242,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,BNA DR ,531B,H,31,8951,36.139,-86.698,"(36.139, -86.698)"
PD201800136957,02/06/2018 04:42:00 PM,20180122555,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,DONELSON PKE ,517B,H,17,9401,36.165,-86.664,"(36.165, -86.664)"
PD201800138833,02/07/2018 02:59:00 AM,20180124296,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,BRIGHTON CLOSE ,113C,W,13,6011,36.127,-86.829,"(36.127, -86.829)"
PD201800139665,02/07/2018 08:39:00 AM,20180125048,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,800,CARTER ST ,221A,E,21,1903,36.19,-86.756,"(36.19, -86.756)"
PD201800141544,02/07/2018 08:45:00 PM,20180126609,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MURFREESBORO PKE ,513B,H,13,8217,36.143,-86.744,"(36.143, -86.744)"
PD201800142164,02/08/2018 12:17:00 AM,20180127174,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2400,OAKLAND AV ,813C,MT,15,6511,36.127,-86.795,"(36.127, -86.795)"
PD201800143963,02/08/2018 12:46:00 PM,20180128788,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,FRENCH LANDING DR ,615A,N,11,4499,36.193,-86.798,"(36.193, -86.798)"
PD201800144181,02/08/2018 02:12:00 PM,20180128976,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5200,LINBAR DR ,332A,S,21,8707,36.078,-86.696,"(36.078, -86.696)"
PD201800144650,02/08/2018 04:44:00 PM,20180129460,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1500,LEBANON PKE ,512B,H,13,9019,36.153,-86.721,"(36.153, -86.721)"
PD201800148375,02/09/2018 03:39:00 PM,20180132701,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MAINSTREAM DR ,621B,N,11,4443,36.2,-86.808,"(36.2, -86.808)"
PD201800150681,02/10/2018 07:18:00 AM,20180134685,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3200,HILLSBORO PKE ,115A,W,17,6001,36.12,-86.81,"(36.12, -86.81)"
PD201800150822,02/10/2018 08:43:00 AM,20180134822,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1700,MAGNOLIA BLVD ,811A,MT,15,6613,36.136,-86.795,"(36.136, -86.795)"
PD201800151336,02/10/2018 01:38:00 PM,20180135187,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,16TH AV S ,811A,MT,15,6705,36.145,-86.793,"(36.145, -86.793)"
PD201800151389,02/10/2018 02:14:00 PM,20180135280,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CARGILE LN ,113B,W,21,4915,36.107,-86.874,"(36.107, -86.874)"
PD201800151474,02/10/2018 03:07:00 PM,20180135286,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6600,CURRYWOOD DR ,123B,W,21,4905,36.114,-86.898,"(36.114, -86.898)"
PD201800152494,02/10/2018 11:02:00 PM,20180136209,,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2100,CHARLOTTE AV ,611C,N,15,5339,36.157,-86.807,"(36.157, -86.807)"
PD201800152792,02/11/2018 01:29:00 AM,20180136489,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2100,CHARLOTTE AV ,611C,N,15,5339,36.157,-86.807,"(36.157, -86.807)"
PD201800153782,02/11/2018 12:18:00 PM,20180137291,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1500,MOUNT MITCHELL CT ,325A,S,23,8853,36.085,-86.659,"(36.085, -86.659)"
PD201800153833,02/11/2018 12:49:00 PM,20180137248,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1700,14TH AV N ,614A,N,13,4455,36.178,-86.806,"(36.178, -86.806)"
PD201800157855,02/12/2018 04:56:00 PM,20180140863,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,500,NICHOL RD ,117B,W,15,4665,36.154,-86.863,"(36.154, -86.863)"
PD201800158746,02/12/2018 09:44:00 PM,20180141628,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1400,HERMAN ST ,613B,N,15,5419,36.166,-86.799,"(36.166, -86.799)"
PD201800161044,02/13/2018 12:21:00 PM,20180143765,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,UNION ST ,4B45,C,11,4141,36.164,-86.782,"(36.164, -86.782)"
PD201800163904,02/14/2018 03:14:00 AM,20180146310,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3900,SOUTHVIEW DR ,621C,N,25,3149,36.211,-86.844,"(36.211, -86.844)"
PD201800165252,02/14/2018 12:56:00 PM,20180147659,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,FRENCH LANDING DR ,621A,N,11,4499,36.193,-86.798,"(36.193, -86.798)"
PD201800165484,02/14/2018 02:27:00 PM,20180147730,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2400,LAKESHORE DR ,525A,H,25,9723,36.25,-86.639,"(36.25, -86.639)"
PD201800165720,02/14/2018 03:43:00 PM,20180147971,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,5TH AV N ,413B,C,11,4139,36.164,-86.781,"(36.164, -86.781)"
PD201800168826,02/15/2018 10:22:00 AM,20180150734,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1800,E BELMONT CIR ,823A,MT,23,6613,36.134,-86.794,"(36.134, -86.794)"
PD201800169471,02/15/2018 01:50:00 PM,20180151245,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1800,STRATFORD AV ,2S54,E,17,1407,36.198,-86.719,"(36.198, -86.719)"
PD201800170088,02/15/2018 05:05:00 PM,20180151768,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,900,16TH AV N ,622B,N,15,5419,36.166,-86.801,"(36.166, -86.801)"
PD201800170603,02/15/2018 07:14:00 PM,20180152403,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,LINDA LN ,727B,M,23,1749,36.259,-86.726,"(36.259, -86.726)"
PD201800172532,02/16/2018 07:45:00 AM,20180153915,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4000,GRANNY WHITE PKE ,821A,MT,25,6409,36.105,-86.799,"(36.105, -86.799)"
PD201800176532,02/17/2018 11:30:00 AM,20180157384,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2000,WEST END AV ,811A,MT,11,5713,36.15,-86.801,"(36.15, -86.801)"
PD201800176593,02/17/2018 12:10:00 PM,20180157462,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1700,MAGNOLIA BLVD ,825A,MT,15,6611,36.136,-86.796,"(36.136, -86.796)"
PD201800182918,02/19/2018 11:27:00 AM,20180162744,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1800,E BELMONT CIR ,823A,MT,23,6613,36.134,-86.794,"(36.134, -86.794)"
PD201800183020,02/19/2018 11:59:00 AM,20180162814,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1600,2ND AV N ,415A,C,13,4339,36.186,-86.787,"(36.186, -86.787)"
PD201800185944,02/20/2018 06:59:00 AM,20180165377,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4000,ARMORY OAKS DR ,823A,MT,25,8525,36.104,-86.761,"(36.104, -86.761)"
PD201800186167,02/20/2018 08:10:00 AM,20180165721,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4200,DRAKES CT ,621A,N,25,3165,36.216,-86.85,"(36.216, -86.85)"
PD201800186263,02/20/2018 08:37:00 AM,20180165959,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1700,RIVERSIDE DR ,211A,E,17,1405,36.198,-86.724,"(36.198, -86.724)"
PD201800186500,02/20/2018 09:58:00 AM,20180165813,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2000,GLEN ECHO RD ,825A,MT,25,6413,36.109,-86.811,"(36.109, -86.811)"
PD201800186658,02/20/2018 10:52:00 AM,20180165997,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,615A,N,11,4401,36.195,-86.79,"(36.195, -86.79)"
PD201800189371,02/21/2018 02:18:00 AM,20180168310,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2700,GREER RD ,727C,M,25,2205,36.351,-86.786,"(36.351, -86.786)"
PD201800190472,02/21/2018 09:23:00 AM,20180169331,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6600,CURRYWOOD DR ,125A,W,21,4905,36.114,-86.898,"(36.114, -86.898)"
PD201800190868,02/21/2018 12:04:00 PM,20180169694,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4200,HARDING PKE ,113A,W,13,5111,36.129,-86.844,"(36.129, -86.844)"
PD201800190918,02/21/2018 12:14:00 PM,20180169803,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2500,PARK DR ,515A,H,15,9307,36.17,-86.676,"(36.17, -86.676)"
PD201800190919,02/21/2018 12:15:00 PM,20180169736,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,VAUGHNS GAP RD ,123A,W,21,4909,36.099,-86.894,"(36.099, -86.894)"
PD201800191058,02/21/2018 01:04:00 PM,20180169904,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MAINSTREAM DR ,611A,N,11,4443,36.2,-86.808,"(36.2, -86.808)"
PD201800191189,02/21/2018 01:54:00 PM,20180169980,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1800,STRATFORD AV ,2S44,E,17,1407,36.198,-86.719,"(36.198, -86.719)"
PD201800191635,02/21/2018 04:04:00 PM,20180170417,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,2ND AV S ,425B,C,25,4029,36.154,-86.769,"(36.154, -86.769)"
PD201800194298,02/22/2018 08:50:00 AM,20180172913,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,18TH AV S ,812A,MT,11,6715,36.15,-86.795,"(36.15, -86.795)"
PD201800194599,02/22/2018 10:36:00 AM,20180173073,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,21ST AV S ,812A,MT,15,6709,36.146,-86.799,"(36.146, -86.799)"
PD201800194681,02/22/2018 11:12:00 AM,20180173133,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,12800,OLD HICKORY BLVD ,3S42,S,33,8867,36.031,-86.621,"(36.031, -86.621)"
PD201800195083,02/22/2018 01:28:00 PM,20180173454,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,18TH AV S ,815A,MT,11,6715,36.15,-86.795,"(36.15, -86.795)"
PD201800195388,02/22/2018 03:35:00 PM,20180173724,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,623B,N,11,4401,36.195,-86.79,"(36.195, -86.79)"
PD201800195393,02/22/2018 03:38:00 PM,20180173740,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,3RD AV S ,425B,C,25,4053,36.158,-86.774,"(36.158, -86.774)"
PD201800197948,02/23/2018 06:47:00 AM,20180176020,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,18TH AV S ,815A,MT,11,6715,36.15,-86.795,"(36.15, -86.795)"
PD201800199101,02/23/2018 01:11:00 PM,20180176996,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,MCMURRAY DR ,835A,MT,35,8659,36.059,-86.723,"(36.059, -86.723)"
PD201800199243,02/23/2018 02:05:00 PM,20180177340,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,MCMURRAY DR ,833B,MT,35,8659,36.059,-86.723,"(36.059, -86.723)"
PD201800201915,02/24/2018 07:09:00 AM,20180179442,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,BROADWAY ,425A,C,21,4103,36.162,-86.776,"(36.162, -86.776)"
PD201800202143,02/24/2018 09:09:00 AM,20180179649,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1500,TRADITION CT ,725A,M,23,1765,36.273,-86.718,"(36.273, -86.718)"
PD201800202535,02/24/2018 12:36:00 PM,20180179953,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4300,SIDCO DR ,825A,MT,25,8529,36.084,-86.762,"(36.084, -86.762)"
PD201800204294,02/24/2018 11:27:00 PM,20180181392,,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,NIX DR ,713C,M,15,1711,36.269,-86.694,"(36.269, -86.694)"
PD201800204536,02/25/2018 01:13:00 AM,20180181775,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,ROYAL PKWY ,533C,H,17,9411,36.145,-86.665,"(36.145, -86.665)"
PD201800205279,02/25/2018 07:56:00 AM,20180182314,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,INTERSTATE DR ,411A,C,13,1107,36.168,-86.767,"(36.168, -86.767)"
PD201800208715,02/26/2018 11:07:00 AM,20180185395,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,BEDFORD AV ,111A,W,17,6105,36.109,-86.82,"(36.109, -86.82)"
PD201800211448,02/27/2018 04:00:00 AM,20180187777,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,8000,OLD CHARLOTTE PKE ,123C,W,23,4707,36.118,-86.965,"(36.118, -86.965)"
PD201800211857,02/27/2018 07:51:00 AM,20180188131,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3900,NOLENSVILLE PKE ,831A,MT,31,8501,36.085,-86.73,"(36.085, -86.73)"
PD201800212169,02/27/2018 10:20:00 AM,20180188434,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,0,MUSIC SQ E ,813A,MT,11,6719,36.15,-86.792,"(36.15, -86.792)"
PD201800212593,02/27/2018 01:06:00 PM,20180188706,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,OLD HICKORY BLVD W ,7S42,M,23,1743,36.264,-86.717,"(36.264, -86.717)"
PD201800212627,02/27/2018 01:22:00 PM,20180188778,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,22ND AV N ,823A,MT,13,5613,36.152,-86.804,"(36.152, -86.804)"
PD201800214692,02/28/2018 02:11:00 AM,20180190697,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2100,CHARLOTTE AV ,625C,N,15,5339,36.157,-86.807,"(36.157, -86.807)"
PD201800215887,02/28/2018 11:59:00 AM,20180191588,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,N 1ST ST ,4B41,C,13,1989,36.174,-86.775,"(36.174, -86.775)"
PD201800215932,02/28/2018 12:15:00 PM,20180191807,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3100,DICKERSON PKE ,2F14,E,25,1811,36.232,-86.758,"(36.232, -86.758)"
PD201800216111,02/28/2018 01:19:00 PM,20180191772,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1400,MOSS DR ,825A,MT,21,8023,36.131,-86.766,"(36.131, -86.766)"
PD201800217159,02/28/2018 06:50:00 PM,20180192661,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,E TRINITY LN ,221B,E,21,1857,36.205,-86.76,"(36.205, -86.76)"
PD201800219783,03/01/2018 12:45:00 PM,20180195072,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,MAINSTREAM DR ,611A,N,11,4437,36.2,-86.814,"(36.2, -86.814)"
PD201800221293,03/01/2018 09:23:00 PM,20180196734,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,TRAILS END LN ,531C,H,33,8995,36.138,-86.634,"(36.138, -86.634)"
