Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800809179,08/15/2018 06:32:40 PM,20180700902,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,46TH AV N ,2931,W,13,5113,36.142,-86.842,"(36.142, -86.842)"
PD201800809462,08/15/2018 08:00:49 PM,20180701118,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,BERKLEY DR ,714B,M,11,1505,36.245,-86.715,"(36.245, -86.715)"
PD201800812352,08/16/2018 03:33:55 PM,20180703638,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3700,RICHLAND AV ,113B,W,13,5211,36.134,-86.829,"(36.134, -86.829)"
PD201800812522,08/16/2018 04:25:44 PM,20180703763,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,W TRINITY LN ,623B,N,21,3009,36.207,-86.782,"(36.207, -86.782)"
PD201800812581,08/16/2018 04:40:40 PM,20180703990,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,TULIP GROVE RD ,523B,H,23,9537,36.215,-86.589,"(36.215, -86.589)"
PD201800812651,08/16/2018 04:59:44 PM,20180703894,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,HILLSBORO PKE ,117B,W,17,6107,36.107,-86.814,"(36.107, -86.814)"
PD201800813852,08/17/2018 12:24:08 AM,20180704959,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV N ,411C,C,11,4159,36.166,-86.78,"(36.166, -86.78)"
PD201800814953,08/17/2018 09:38:22 AM,20180706019,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2500,MCGAVOCK PKE ,515A,H,15,9213,36.224,-86.699,"(36.224, -86.699)"
PD201800815648,08/17/2018 02:15:48 PM,20180706662,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5200,HICKORY HOLLOW PKWY ,334B,S,25,8871,36.052,-86.656,"(36.052, -86.656)"
PD201800816103,08/17/2018 04:52:29 PM,20180706988,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,BAKERTOWN RD ,334B,S,23,8851,36.072,-86.689,"(36.072, -86.689)"
PD201800816250,08/17/2018 05:47:15 PM,20180707044,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3500,DOVE CREEK RD ,332B,S,35,8925,36.073,-86.598,"(36.073, -86.598)"
PD201800817898,08/18/2018 07:21:59 AM,20180708409,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,7000,OLD HICKORY BLVD ,625A,N,27,3305,36.267,-86.836,"(36.267, -86.836)"
PD201800818678,08/18/2018 02:28:31 PM,20180709158,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1600,PEARL ST ,615B,N,15,5425,36.163,-86.795,"(36.163, -86.795)"
PD201800821284,08/19/2018 01:28:22 PM,20180711126,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2500,12TH AV S ,823A,MT,23,6949,36.125,-86.789,"(36.125, -86.789)"
PD201800823515,08/20/2018 08:29:39 AM,20180713037,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,N 8TH ST ,227A,E,27,1999,36.18,-86.761,"(36.18, -86.761)"
PD201800823958,08/20/2018 11:22:35 AM,20180713374,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,4TH AV N ,423A,C,11,4139,36.164,-86.779,"(36.164, -86.779)"
PD201800824156,08/20/2018 12:26:00 PM,20180713536,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2900,ARMORY DR ,825A,MT,25,8531,36.102,-86.754,"(36.102, -86.754)"
PD201800824613,08/20/2018 03:16:37 PM,20180713899,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4600,HEDGEWOOD DR ,55S28,E,17,1513,36.228,-86.722,"(36.228, -86.722)"
PD201800824893,08/20/2018 04:38:52 PM,20180714207,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,4TH AV N ,423B,C,21,4107,36.161,-86.777,"(36.161, -86.777)"
PD201800827601,08/21/2018 11:40:10 AM,20180716561,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,GREEN HILLS VILLAGE DR ,117A,W,17,6109,36.108,-86.817,"(36.108, -86.817)"
PD201800827729,08/21/2018 12:25:01 PM,20180716727,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,800,FLINT RIDGE DR ,603,N,27,3223,36.239,-86.814,"(36.239, -86.814)"
PD201800830620,08/22/2018 07:35:38 AM,20180719239,A,88,Investigate 911 Hang-Up Call,PW,,13,FALSE CALL,5500,SCRUGGS LN ,621A,N,21,3007,36.206,-86.782,"(36.206, -86.782)"
PD201800831142,08/22/2018 10:32:19 AM,20180719764,A,88,Investigate 911 Hang-Up Call,P,,13,FALSE CALL,3700,STEWARTS LN ,621A,N,25,3133,36.19,-86.859,"(36.19, -86.859)"
PD201800834771,08/23/2018 08:39:45 AM,20180722980,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,WOODSTOCK DR ,727A,M,21,2033,36.245,-86.775,"(36.245, -86.775)"
