School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,High School,450,Hume-Fogg High,355,37203,,,,,,,,,,,,222,233,228,221,6,93,215,60,1,529,353,551,49,35,3,36.1595246071,-86.781536017,"(36.1595246071, -86.781536017)"
18-19,High School,452,Hunters Lane High,358,37207,,,,,,,,,,,,359,330,369,297,,15,631,487,5,217,702,653,581,157,284,36.2788275473,-86.7538434982,"(36.2788275473, -86.7538434982)"
18-19,Elementary School,175,Ida B. Wells Elementary,80,37207,,15,38,56,66,49,75,,,,,,,,,2,,271,13,,13,157,142,224,38,27,36.1783097577,-86.769001134,"(36.1783097577, -86.769001134)"
18-19,Elementary School,455,Inglewood Elementary,360,37216,,37,37,34,43,31,30,,,,,,,,,,,174,12,1,25,108,104,124,19,7,36.1978312773,-86.7238406355,"(36.1978312773, -86.7238406355)"
18-19,Charter,457,Intrepid College Prep Charter,8048,37013,,,,,,,,100,111,98,83,89,56,,,1,6,126,327,,77,264,273,163,35,258,36.0501591002,-86.6457200764,"(36.0501591002, -86.6457200764)"
18-19,Middle School,510,Isaac Litton Middle,365,37216,,,,,,,,131,127,114,119,,,,,2,9,200,47,,233,263,228,173,85,34,36.2282154457,-86.7221587445,"(36.2282154457, -86.7221587445)"
18-19,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,28,125,,,,,,,,,,,,,,1,3,122,11,,16,78,75,63,29,,36.1915875124,-86.832635707,"(36.1915875124, -86.832635707)"
18-19,Elementary School,310,J.E. Moss Elementary,370,37013,3,30,147,179,129,149,140,,,,,,,,,2,57,115,514,,89,394,383,286,80,419,36.0673533812,-86.6697465788,"(36.0673533812, -86.6697465788)"
18-19,Middle School,120,Jere Baxter Middle,375,37207,,,,,,,,67,60,76,59,,,,,,,148,70,1,43,137,125,169,46,60,36.2190280292,-86.7508830358,"(36.2190280292, -86.7508830358)"
18-19,Elementary School,465,Joelton Elementary,380,37080,3,16,43,48,51,53,42,,,,,,,,,,1,37,31,,187,122,134,91,45,9,36.315679553,-86.8680398063,"(36.315679553, -86.8680398063)"
18-19,Middle School,470,Joelton Middle,385,37080,,,,,,,,77,67,83,95,,,,,1,,215,24,,82,181,141,222,56,17,36.3138460672,-86.8657762415,"(36.3138460672, -86.8657762415)"
18-19,Elementary School,790,John B. Whitsitt Elementary,390,37210,,34,87,81,72,77,79,,,,,,,,,1,10,49,303,,67,208,222,189,48,215,36.1150448454,-86.7356845538,"(36.1150448454, -86.7356845538)"
18-19,Middle School,285,John Early Middle,386,37208,,,,,,,,60,57,71,94,,,,,,10,235,16,,21,154,128,194,53,13,36.1871534218,-86.8047130677,"(36.1871534218, -86.8047130677)"
18-19,Middle School,498,John F. Kennedy Middle,393,37013,,,,,,,,196,202,193,195,,,,,2,26,320,282,1,155,402,384,240,76,291,36.0554667904,-86.6006047025,"(36.0554667904, -86.6006047025)"
18-19,High School,615,John Overton High,395,37220,,,,,,,,,,,,476,520,577,388,2,207,383,759,3,607,1103,858,601,182,679,36.0797992685,-86.7689945134,"(36.0797992685, -86.7689945134)"
18-19,Middle School,563,John Trotwood Moore Middle,490,37204,,,,,,,,237,210,188,152,,,,,1,28,216,43,2,497,424,363,161,88,30,36.0957722119,-86.801995019,"(36.0957722119, -86.801995019)"
18-19,Non-Traditional - Hybrid,480,Johnson Alternative Learning Center,740,37210,,,,,,,,,4,7,14,4,9,26,5,1,,42,19,,7,52,17,52,20,11,36.1453908839,-86.7640144621,"(36.1453908839, -86.7640144621)"
18-19,Elementary School,485,Jones Elementary,387,37208,,,40,56,57,49,61,,,,,,,,,,,257,3,,3,129,134,106,24,1,36.181153731,-86.8013978855,"(36.181153731, -86.8013978855)"
18-19,Elementary School,380,Julia Green Elementary,415,37215,,,108,86,82,96,72,,,,,,,,,,30,27,10,1,376,232,212,20,39,13,36.1027239829,-86.8331193121,"(36.1027239829, -86.8331193121)"
18-19,Charter,512,KA @ The Crossings MS,8105,37013,,,,,,,,104,82,80,47,,,,,,6,132,106,,69,154,159,109,26,137,36.0450664576,-86.6515834105,"(36.0450664576, -86.6515834105)"
18-19,Charter,502,KIPP Academy Nashville,8002,37207,,,,,,,,97,98,85,88,,,,,,2,190,161,,15,190,178,198,42,126,36.1945359149,-86.7694392501,"(36.1945359149, -86.7694392501)"
18-19,Charter,499,KIPP Academy Nashville Elementary,8095,37206,,,97,99,97,90,105,,,,,,,,,1,6,456,7,,18,240,248,399,69,8,36.1674762595,-86.7519101749,"(36.1674762595, -86.7519101749)"
18-19,Charter,503,KIPP Nashville College Prep,8042,37207,,,,,,,,92,87,85,82,,,,,,5,280,50,,11,185,161,168,44,36,36.2375074649,-86.8037065355,"(36.2375074649, -86.8037065355)"
18-19,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,77,93,75,,,,,,,,,,,2,,223,17,,3,133,112,138,30,10,36.2382525836,-86.8036646566,"(36.2382525836, -86.8036646566)"
18-19,Charter,504,KIPP Nashville Collegiate High School,8011,37207,,,,,,,,,,,,131,116,82,48,,2,256,105,,14,197,180,160,49,40,36.1947984072,-86.7691857847,"(36.1947984072, -86.7691857847)"
18-19,Charter,511,Knowledge Academies High School,8065,37013,,,,,,,,,,,,107,98,86,71,2,6,155,138,,61,196,166,85,51,76,36.0452120214,-86.6518729615,"(36.0452120214, -86.6518729615)"
18-19,Charter,506,Knowledge Academy,8012,37013,,,,,,,,64,76,80,71,,,,,1,2,98,148,,42,142,149,87,35,127,36.0454015353,-86.6519937155,"(36.0454015353, -86.6519937155)"
18-19,Elementary School,122,Lakeview Elementary,430,37217,15,44,114,99,99,102,103,,,,,,,,,,19,176,217,,164,300,276,228,94,240,36.0788149596,-86.6300723113,"(36.0788149596, -86.6300723113)"
18-19,Charter,508,LEAD Academy,8003,37208,,,,,,,,,,,,144,129,82,82,,6,199,182,,50,207,230,180,50,129,36.1478854755,-86.7639512965,"(36.1478854755, -86.7639512965)"
18-19,Charter,507,LEAD Prep Southeast,8013,37211,,,,,,,,124,128,124,152,99,80,,,1,41,128,320,,217,345,362,265,58,381,36.0923357845,-86.7036708627,"(36.0923357845, -86.7036708627)"
18-19,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,108,133,99,103,,,,,,3,163,238,,39,198,245,190,60,191,36.2120626994,-86.7329249332,"(36.2120626994, -86.7329249332)"
18-19,Elementary School,520,Lockeland Elementary,435,37206,,,57,61,58,59,59,,,,,,,,,,7,20,7,1,259,154,140,7,21,2,36.1762250805,-86.7395204948,"(36.1762250805, -86.7395204948)"
18-19,Middle School,545,Madison Middle,622,37115,,,,,,,,157,133,117,146,,,,,,3,315,161,,74,289,264,323,81,137,36.2638940195,-86.7162084879,"(36.2638940195, -86.7162084879)"
18-19,High School,550,Maplewood High,445,37216,,,,,,,,,,,,183,198,241,178,,11,579,147,,63,408,392,443,142,127,36.2327519801,-86.7503393689,"(36.2327519801, -86.7503393689)"
18-19,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,93,115,118,95,,,,,2,13,182,143,,81,217,204,188,68,169,36.1460623437,-86.721646171,"(36.1460623437, -86.721646171)"
18-19,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,141,152,263,241,238,239,1,145,537,88,2,501,608,666,131,17,24,36.1616756426,-86.8004738094,"(36.1616756426, -86.8004738094)"
18-19,Elementary School,682,May Werthan Shayne Elementary School,608,37211,9,16,154,119,160,130,170,,,,,,,,,1,70,223,62,5,397,392,366,203,73,174,36.0210311721,-86.7146311916,"(36.0210311721, -86.7146311916)"
18-19,Elementary School,530,McGavock Elementary,465,37214,1,16,53,51,58,53,45,,,,,,,,,1,6,94,90,1,85,133,144,112,28,81,36.1605589982,-86.6810349428,"(36.1605589982, -86.6810349428)"
18-19,High School,532,McGavock High,470,37214,,,,,,,,,,,1,572,617,589,563,6,57,935,420,5,919,1174,1168,809,314,187,36.1854431861,-86.6778493538,"(36.1854431861, -86.6778493538)"
18-19,Middle School,540,McMurray Middle,480,37211,,,,,,,,200,201,194,189,,,,,2,85,131,479,,87,412,372,358,69,548,36.0563796098,-86.7236924979,"(36.0563796098, -86.7236924979)"
18-19,Middle School,555,Meigs Middle,330,37206,,,,,,,,174,177,167,170,,,,,,72,186,48,,382,325,363,52,24,28,36.1763639882,-86.760880188,"(36.1763639882, -86.760880188)"
18-19,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,1,,,2,27,193,25,26,70,112,1,31,144,39,2,239,163,293,72,18,19,36.1501214104,-86.8453830588,"(36.1501214104, -86.8453830588)"
18-19,High School,562,Middle College High,437,37209,,,,,,,,,,,,62,,43,26,,2,58,14,1,56,52,79,25,9,8,36.1346991446,-86.8571169258,"(36.1346991446, -86.8571169258)"
18-19,Middle School,535,Moses McKissack Middle,35,37209,,,,,,,,79,84,74,71,,,,,,,270,25,1,12,139,169,233,68,23,36.1598989391,-86.8319415791,"(36.1598989391, -86.8319415791)"
18-19,Elementary School,576,Mt. View Elementary,493,37013,2,46,124,122,129,146,111,,,,,,,,,1,27,270,175,2,205,328,352,209,68,205,36.0418590581,-86.6045976768,"(36.0418590581, -86.6045976768)"
18-19,Special Education,585,Murrell School,505,37210,,,,2,2,5,9,8,10,5,4,,,,,,,40,1,,4,38,7,33,43,1,36.137548849,-86.7900214161,"(36.137548849, -86.7900214161)"
18-19,Elementary School,590,Napier Elementary,510,37210,5,42,69,53,48,50,45,,,,,,,,,1,,284,20,,7,157,155,265,44,14,36.1500211684,-86.7563991118,"(36.1500211684, -86.7563991118)"
18-19,Charter,589,Nashville Academy of Computer Science,8055,37207,,,,,,,,71,81,73,75,,,,,2,,206,58,,34,185,115,169,55,37,36.2349642714,-86.78246535,"(36.2349642714, -86.78246535)"
18-19,Non-Traditional,142,Nashville Big Picture High School,53,37209,,,,,,,,,,,,29,46,29,29,,1,87,16,,29,53,80,49,22,2,36.1430883067,-86.8557148572,"(36.1430883067, -86.8557148572)"
18-19,Charter,592,Nashville Classical,8044,37206,,,72,68,71,64,67,52,,,,,,,,1,3,270,30,,90,196,198,150,43,11,36.1799726463,-86.7460731124,"(36.1799726463, -86.7460731124)"
18-19,Charter,594,Nashville Prep,8008,37209,,,,,,,,86,101,82,78,,,,,1,6,199,115,,26,168,179,180,52,91,36.1623058663,-86.8553317868,"(36.1623058663, -86.8553317868)"
18-19,High School,242,Nashville School Of The Arts,512,37210,,,,,,,,,,,,149,145,147,121,1,13,205,47,,296,162,400,78,51,5,36.1329133192,-86.7405001865,"(36.1329133192, -86.7405001865)"
18-19,Charter,601,Neelys Bend College Prep,6000,37115,,,,,,,,139,114,114,127,,,,,,3,199,207,,85,276,218,230,7,167,36.2419079199,-86.674230711,"(36.2419079199, -86.674230711)"
18-19,Elementary School,595,Neelys Bend Elementary,515,37115,,,50,56,47,55,68,,,,,,,,,,1,94,120,,61,139,137,121,29,88,36.2399690605,-86.6735175002,"(36.2399690605, -86.6735175002)"
