School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Non-Traditional,211,The Academy at Old Cockrill,614,37209,,,,,,,,,,,,,,,62,,3,37,7,,15,30,32,32,7,1,36.1547218751,-86.8455535663,"(36.1547218751, -86.8455535663)"
18-19,Non-Traditional,613,The Academy at Opry Mills,612,37214,,,,,,,,,,,,,,,61,,,26,16,,19,30,31,20,6,5,36.2027005721,-86.6920792353,"(36.2027005721, -86.6920792353)"
18-19,Non-Traditional - Hybrid,718,The Cohn Learning Center,745,37209,,,,,,,,,,,,,12,80,,,,79,6,,7,51,41,61,28,4,36.1507089234,-86.8451990752,"(36.1507089234, -86.8451990752)"
18-19,Elementary School,575,Thomas A. Edison Elementary,208,37013,4,30,122,151,142,130,148,,,,,,,,,1,16,272,189,2,247,384,343,257,63,246,36.0628845281,-86.6046383659,"(36.0628845281, -86.6046383659)"
18-19,Middle School,551,Thurgood Marshall Middle,633,37013,,,,,,,,209,253,232,244,,,,,1,72,384,306,2,173,489,449,284,137,348,36.0223005992,-86.6612707661,"(36.0223005992, -86.6612707661)"
18-19,Elementary School,495,Tom Joy Elementary,635,37207,,37,73,63,71,69,80,,,,,,,,,,2,244,95,,52,198,195,265,59,66,36.2086474873,-86.7566230238,"(36.2086474873, -86.7566230238)"
18-19,Alternative Learning Center,117,Transitions at Bass,725,37209,,,,,,,,,,,,,3,7,7,,,11,2,,4,13,4,12,8,1,36.1549780692,-86.8520459267,"(36.1549780692, -86.8520459267)"
18-19,Elementary School,717,Tulip Grove Elementary,637,37076,13,33,102,78,92,89,91,,,,,,,,,4,24,169,127,1,173,255,243,165,77,94,36.1984960718,-86.610888928,"(36.1984960718, -86.610888928)"
18-19,Elementary School,725,Tusculum Elementary,645,37211,4,54,140,139,140,134,126,,,,,,,,,,90,130,405,1,111,373,364,359,50,489,36.0622421154,-86.7189946606,"(36.0622421154, -86.7189946606)"
18-19,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,114,98,102,106,,,,,3,11,173,100,1,132,196,224,190,72,93,36.194467241,-86.6739737732,"(36.194467241, -86.6739737732)"
18-19,Elementary School,735,Una Elementary,655,37217,,38,144,158,149,128,132,,,,,,,,,1,23,231,249,,244,383,366,283,59,322,36.0950303613,-86.6528803773,"(36.0950303613, -86.6528803773)"
18-19,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,125,122,122,137,228,,,,,44,108,135,2,445,368,366,191,81,189,36.0708005834,-86.725494633,"(36.0708005834, -86.725494633)"
18-19,Charter,744,Valor Voyager Academy,8080,37211,,,,,,,,128,134,129,132,,,,,,29,78,138,2,276,260,263,145,62,171,36.0706506329,-86.7250511979,"(36.0706506329, -86.7250511979)"
18-19,Adult,114,W. A. Bass Adult Program,125,37209,,,,,,,,,,,,66,11,103,40,,19,125,37,,39,102,118,86,42,85,36.1540731279,-86.8518765886,"(36.1540731279, -86.8518765886)"
18-19,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,,,,,,,,,,,4,16,28,13,,,54,1,,6,44,17,44,14,2,36.1545841136,-86.8510016583,"(36.1545841136, -86.8510016583)"
18-19,Elementary School,755,Warner Elementary,675,37206,3,22,38,44,36,36,41,,,,,,,,,,1,196,9,1,13,102,118,190,22,22,36.1720753383,-86.7600969964,"(36.1720753383, -86.7600969964)"
18-19,Elementary School,765,Waverly-Belmont Elementary School,755,37204,7,8,117,105,112,103,83,,,,,,,,,1,20,227,30,,257,267,268,135,76,12,36.1264618728,-86.7866295627,"(36.1264618728, -86.7866295627)"
18-19,Middle School,770,West End Middle,690,37205,,,,,,,,146,146,117,125,,,,,1,21,232,27,2,251,278,256,124,108,26,36.131974712,-86.8243226532,"(36.131974712, -86.8243226532)"
18-19,Elementary School,775,Westmeade Elementary,695,37205,,,84,88,87,82,82,,,,,,,,,1,26,111,77,2,206,239,184,102,53,57,36.0919967834,-86.8941366526,"(36.0919967834, -86.8941366526)"
18-19,High School,787,Whites Creek High School,704,37189,,,,,,,,,,,,155,164,171,167,1,2,542,29,1,82,319,338,338,128,18,36.2766453173,-86.8188329872,"(36.2766453173, -86.8188329872)"
18-19,Middle School,612,William Henry Oliver Middle,538,37211,,,,,,,,262,251,227,228,,,,,1,76,293,146,4,448,484,484,237,111,204,36.0201739757,-86.7122071016,"(36.0201739757, -86.7122071016)"
18-19,Middle School,805,Wright Middle,715,37211,,,,,,,,194,212,178,165,,,,,,36,132,458,,123,404,345,360,77,441,36.1001088774,-86.7341334228,"(36.1001088774, -86.7341334228)"
