District Number,School Number,District Name,School Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Science Composite,Social Studies Composite
680,25,Perry County,Linden Middle School,4,5,3,4,5,1
680,27,Perry County,Perry County High School,4,5,5,5,1,4
690,5,Pickett County,Pickett Co High School,5,5,5,5,5,3
690,10,Pickett County,Pickett County Elementary,5,5,5,5,3,3
700,5,Polk County,Benton Elementary,5,5,5,5,5,4
700,10,Polk County,Copper Basin Elementary School,1,2,1,1,1,1
700,15,Polk County,Copper Basin High School,5,5,1,3,3,5
700,50,Polk County,Chilhowee Middle School,1,1,1,1,1,1
700,53,Polk County,Polk County High School,5,5,5,5,1,5
700,57,Polk County,South Polk Elementary,4,3,4,4,2,5
710,5,Putnam County,Algood Elementary,3,3,3,3,,
710,8,Putnam County,Algood Middle School,1,1,1,1,1,1
710,15,Putnam County,Cornerstone Elementary,1,1,1,1,,
710,25,Putnam County,Burks Elementary,1,1,1,1,1,1
710,30,Putnam County,Cane Creek Elementary,1,1,1,1,,
710,35,Putnam County,Capshaw Elementary,3,4,1,3,,
710,37,Putnam County,Cookeville High School,1,1,1,1,1,2
710,50,Putnam County,Jere Whitson Elementary,2,2,3,2,,
710,55,Putnam County,Monterey High School,2,3,2,3,1,2
710,57,Putnam County,Northeast Elementary,5,4,4,5,,
710,60,Putnam County,Park View Elementary,2,3,2,2,,
710,65,Putnam County,Avery Trace Middle School,1,1,1,1,1,1
710,70,Putnam County,Sycamore Elementary,3,2,3,3,,
710,90,Putnam County,Upperman High School,3,5,3,4,1,5
710,95,Putnam County,Prescott South Elementary,4,3,5,4,,
710,100,Putnam County,Prescott South Middle School,1,1,1,1,1,1
710,105,Putnam County,White Plains Academy,1,1,2,1,1,2
710,110,Putnam County,Upperman Middle School,1,1,1,1,1,1
720,10,Rhea County,Frazier Elementary,1,3,3,3,1,1
720,20,Rhea County,Graysville Elementary School,5,4,3,3,5,5
720,32,Rhea County,Rhea County High School,5,5,5,5,4,5
720,40,Rhea County,Spring City Elementary,2,3,4,3,2,1
720,50,Rhea County,Spring City Middle School,5,5,5,5,4,5
720,65,Rhea County,Rhea Central Elementary,3,4,3,4,1,4
720,70,Rhea County,Rhea Middle School,3,5,5,5,1,2
721,5,Dayton City,Dayton City Elementary,5,5,5,5,5,4
730,5,Roane County,Cherokee Middle School,5,5,4,5,5,5
730,14,Roane County,Harriman Middle School,5,4,3,4,5,5
730,15,Roane County,Harriman High School,5,5,5,5,3,2
730,28,Roane County,Bowers Elementary,5,3,5,5,3,2
730,35,Roane County,Kingston Elementary,2,3,4,3,1,1
730,45,Roane County,Midtown Elementary,5,5,5,5,5,4
730,47,Roane County,Midway Elementary,3,3,2,2,4,3
730,48,Roane County,Midway Middle School,5,3,5,5,4,3
730,50,Roane County,Midway High School,2,3,2,2,3,3
730,60,Roane County,Oliver Springs Middle,1,1,1,1,4,3
730,65,Roane County,Oliver Springs High School,5,4,4,5,5,5
730,77,Roane County,Ridge View Elementary,4,3,5,4,3,5
730,80,Roane County,Roane County High School,1,3,1,1,2,3
730,85,Roane County,Rockwood High School,3,3,3,3,3,5
730,90,Roane County,Rockwood Middle School,5,3,5,5,1,5
730,95,Roane County,Dyllis Springs Elementary,1,3,1,1,4,2
740,15,Robertson County,Crestview Elementary School,5,4,5,5,1,5
740,20,Robertson County,Cheatham Park Elementary,1,2,1,1,1,1
740,26,Robertson County,Coopertown Middle School,4,4,3,4,1,5
740,28,Robertson County,East Robertson Elementary,1,3,3,3,1,1
740,32,Robertson County,East Robertson High School,2,4,3,4,2,1
740,35,Robertson County,Greenbrier Elementary,1,3,1,1,1,3
740,38,Robertson County,Greenbrier Middle School,3,1,5,3,4,3
740,40,Robertson County,Greenbrier High School,4,4,5,5,3,2
740,45,Robertson County,Jo Byrns High School,1,3,1,1,2,1
740,48,Robertson County,Jo Byrns Elementary School,3,4,5,5,1,3
740,50,Robertson County,Krisle Elementary,4,3,4,3,3,5
740,70,Robertson County,Springfield High School,1,1,1,1,1,3
740,75,Robertson County,Springfield Middle School,1,1,3,2,1,1
740,80,Robertson County,Watauga Elementary,4,3,5,4,3,3
740,88,Robertson County,White House Heritage Elementary School,2,5,3,4,1,3
740,90,Robertson County,White House Heritage High School,1,1,3,2,5,1
740,95,Robertson County,Robertson Co. Virtual School,3,4,,4,2,
750,1,Rutherford County,Blackman Elementary School,4,4,2,3,5,3
750,2,Rutherford County,Blackman Middle School,5,4,2,3,5,5
750,3,Rutherford County,Barfield Elementary,5,3,5,4,5,5
750,4,Rutherford County,Blackman High School,5,,5,5,5,1
750,5,Rutherford County,Buchanan Elementary,1,3,1,2,1,1
750,8,Rutherford County,Cedar Grove Elementary,5,4,5,5,5,5
750,15,Rutherford County,Central Magnet School,5,4,5,5,5,5
750,17,Rutherford County,Oakland Middle School,1,1,1,1,3,1
750,20,Rutherford County,Christiana Elementary,1,3,2,2,1,1
750,21,Rutherford County,Whitworth-Buchanan Middle School,2,1,1,1,5,2
750,23,Rutherford County,Christiana Middle School,2,1,3,2,1,5
750,25,Rutherford County,John Colemon Elementary,5,3,5,5,5,5
750,28,Rutherford County,David Youree Elementary,5,5,4,5,1,3
750,35,Rutherford County,Eagleville School,3,2,5,4,3,2
750,37,Rutherford County,Holloway High School,5,4,5,5,4,3
750,39,Rutherford County,Brown's Chapel Elementary School,5,5,4,5,5,5
750,40,Rutherford County,Kittrell Elementary,3,3,1,2,4,3
750,50,Rutherford County,Lascassas Elementary,5,4,5,5,5,1
750,55,Rutherford County,Rock Springs Elementary,1,4,3,3,1,1
750,58,Rutherford County,Rock Springs Middle School,1,1,1,1,1,5
750,59,Rutherford County,LaVergne Lake Elementary School,3,2,5,5,1,2
750,62,Rutherford County,LaVergne Middle School,1,1,1,1,,
750,63,Rutherford County,Lavergne High School,2,2,4,3,1,5
750,65,Rutherford County,Homer Pittard Campus School,1,3,1,3,1,3
750,70,Rutherford County,McFadden School Of Excellence,4,3,5,4,1,5
750,72,Rutherford County,Oakland High School,5,3,1,1,5,4
750,74,Rutherford County,Riverdale High School,1,1,1,1,1,2
750,75,Rutherford County,Rockvale Elementary,1,3,1,2,1,1
750,77,Rutherford County,Roy L Waldron Elementary,3,5,3,5,1,1
750,78,Rutherford County,Rockvale Middle School,5,5,5,5,5,5
750,90,Rutherford County,Smyrna Elementary,5,5,5,5,4,3
750,95,Rutherford County,Smyrna Middle School,5,1,5,4,3,5
750,98,Rutherford County,Smyrna High School,3,1,5,3,5,2
750,100,Rutherford County,Smyrna Primary,1,3,1,1,3,1
750,103,Rutherford County,Siegel Middle School,3,1,1,1,5,5
750,104,Rutherford County,Siegel High School,3,1,3,1,5,3
750,105,Rutherford County,Thurman Francis Arts Academy/Magnet School for the Arts,5,4,4,5,5,3
750,110,Rutherford County,Walter Hill Elementary,2,5,2,3,1,1
750,150,Rutherford County,Wilson Elementary School,4,3,2,2,5,5
750,200,Rutherford County,Stewartsboro Elementary,5,5,3,4,5,5
750,210,Rutherford County,Stewarts Creek Elementary School,5,3,5,5,5,5
750,220,Rutherford County,Stewarts Creek Middle School,5,5,3,4,5,5
750,225,Rutherford County,Stewarts Creek High School,1,,1,1,1,1
750,230,Rutherford County,Rocky Fork Middle School,5,4,5,5,5,5
751,5,Murfreesboro City,Discovery School,2,3,2,3,1,3
751,7,Murfreesboro City,Black Fox Elementary,1,3,1,1,4,2
751,10,Murfreesboro City,Bradley Academy - An Arts Integrated School,5,5,5,5,5,2
751,15,Murfreesboro City,Cason Lane Academy,2,3,2,3,1,1
751,18,Murfreesboro City,Erma Siegel Elementary,1,1,1,1,2,1
751,20,Murfreesboro City,Hobgood Elementary,3,3,2,3,5,3
751,25,Murfreesboro City,Mitchell-Neilson Elementary,1,2,2,1,1,1
751,32,Murfreesboro City,Northfield Elementary,4,5,4,5,2,3
751,35,Murfreesboro City,John Pittard Elementary,3,4,1,3,4,5
751,40,Murfreesboro City,Overall Creek Elementary,2,1,4,3,3,1
751,45,Murfreesboro City,Reeves-Rogers Elementary,2,3,1,2,2,3
751,150,Murfreesboro City,Scales Elementary School,1,1,1,1,1,4
760,5,Scott County,Burchfield Elementary,1,1,1,1,1,1
760,8,Scott County,Fairview Elementary,1,1,1,1,5,1
760,20,Scott County,Huntsville Elementary,1,2,1,1,,
760,25,Scott County,Huntsville Middle School,5,5,3,5,4,1
760,40,Scott County,Robbins Elementary,3,2,3,3,4,3
760,48,Scott County,Scott High School,5,5,3,5,3,5
760,55,Scott County,Winfield Elementary,4,3,3,3,5,4
761,5,Oneida Special School District,Oneida Elementary,5,5,5,5,1,5
761,8,Oneida Special School District,Oneida Middle School,5,3,2,3,5,5
761,10,Oneida Special School District,Oneida High School,5,5,5,5,4,5
770,5,Sequatchie County,Sequatchie Co Middle School,5,5,5,5,5,5
770,10,Sequatchie County,Griffith Elementary,2,3,1,2,,
770,20,Sequatchie County,Sequatchie Co High School,5,5,4,5,5,3
780,12,Sevier County,Boyds Creek Elementary School,5,3,5,5,4,3
780,13,Sevier County,Catlettsburg Elementary School,2,1,2,1,2,5
780,15,Sevier County,Catons Chapel Elementary,1,1,2,1,1,3
780,20,Sevier County,Gatlinburg Pittman High,5,5,5,5,5,5
780,25,Sevier County,Jones Cove Elementary,3,1,3,2,5,4
780,30,Sevier County,Northview Senior Academy,5,5,2,4,5,4
780,31,Sevier County,Northview Junior Academy,5,1,5,4,3,3
780,32,Sevier County,Northview Elementary,5,4,4,5,,
780,34,Sevier County,Northview Intermediate School,4,1,5,3,5,2
780,35,Sevier County,New Center Elementary,3,2,3,2,4,5
780,40,Sevier County,Pi Beta Phi Elementary,3,1,5,3,1,3
780,44,Sevier County,Pigeon Forge Primary,4,4,4,4,,
780,45,Sevier County,Pigeon Forge Middle School,5,1,5,4,5,5
780,46,Sevier County,Pigeon Forge High School,5,4,5,5,2,5
780,50,Sevier County,Pittman Center Elementary,2,3,3,3,3,3
780,52,Sevier County,Gary Hardin Academy,1,1,2,1,,2
780,55,Sevier County,Sevier County High School,5,3,5,5,3,3
780,61,Sevier County,Sevierville Intermediate,5,3,4,3,5,5
780,62,Sevier County,Sevierville Middle School,3,1,5,3,3,3
780,66,Sevier County,Seymour Middle School,5,3,5,5,4,5
780,68,Sevier County,Seymour Intermediate,5,5,3,5,3,5
780,70,Sevier County,Seymour High School,5,3,5,4,4,5
780,80,Sevier County,Wearwood Elementary,3,3,3,3,3,3
792,10,Shelby County (New),Barret's Chapel Elementary/Middle,1,1,1,1,1,3
792,35,Shelby County (New),Bolton High,3,4,1,3,1,5
792,67,Shelby County (New),Dexter Elementary,1,5,2,3,1,1
792,68,Shelby County (New),Dexter Middle,5,5,5,5,5,5
792,80,Shelby County (New),E.E. Jeter Elementary/Middle,5,4,5,5,5,5
792,105,Shelby County (New),Germantown Elementary,5,4,5,5,4,2
792,107,Shelby County (New),Germantown Middle,5,5,5,5,5,5
792,108,Shelby County (New),Highland Oaks Elementary,5,3,5,5,1,1
792,110,Shelby County (New),Germantown High,2,2,3,2,5,1
792,115,Shelby County (New),Lucy Elementary,4,4,4,5,5,1
792,118,Shelby County (New),Macon-Hall Elementary,5,5,2,3,5,5
792,140,Shelby County (New),Mt. Pisgah Middle,1,3,1,1,1,5
792,145,Shelby County (New),Northaven Elementary,2,1,3,1,5,3
792,175,Shelby County (New),Southwind Elementary,5,3,5,5,5,1
792,178,Shelby County (New),Southwind High,1,1,3,1,4,1
792,185,Shelby County (New),Woodstock Middle School,2,3,1,1,5,2
792,200,Shelby County (New),Highland Oaks Middle,5,5,5,5,3,5
792,205,Shelby County (New),Lowrance Elementary/Middle,3,3,2,3,1,5
792,300,Shelby County (New),Belle Forest Community School,1,1,1,1,3,1
792,2005,Shelby County (New),A. B. Hill Elementary,5,5,5,5,5,5
792,2007,Shelby County (New),Kate Bond Middle School,2,4,1,1,5,5
792,2015,Shelby County (New),Alcy Elementary,4,4,5,5,2,2
792,2020,Shelby County (New),Alton Elementary,1,1,1,1,3,1
792,2023,Shelby County (New),American Way Middle,2,3,1,1,4,3
792,2030,Shelby County (New),B. T. Washington High,5,3,5,5,5,1
792,2040,Shelby County (New),Bellevue Middle,1,1,1,1,5,2
792,2045,Shelby County (New),Berclair Elementary,5,5,5,5,3,2
792,2049,Shelby County (New),Chimneyrock Elementary School,1,3,1,1,1,1
792,2050,Shelby County (New),Bethel Grove Elementary,5,4,4,4,5,3
792,2053,Shelby County (New),William Herbert Brewster Elementary School,5,3,5,5,3,1
792,2057,Shelby County (New),Brownsville Road Elementary,2,4,3,3,2,1
792,2060,Shelby County (New),Bruce Elementary,5,3,5,5,5,3
792,2070,Shelby County (New),Campus Elementary,5,3,4,5,3,5
792,2090,Shelby County (New),Central High,4,5,1,3,3,5
792,2095,Shelby County (New),Charjean Elementary,4,3,4,4,4,1
792,2100,Shelby County (New),Cherokee Elementary,1,4,1,2,1,1
792,2108,Shelby County (New),Chickasaw Middle,5,4,5,5,5,5
792,2115,Shelby County (New),Colonial Middle,2,5,1,3,1,4
792,2116,Shelby County (New),Kate Bond Elementary School,1,3,4,3,1,1
792,2117,Shelby County (New),Cordova Elementary,3,5,3,5,1,2
792,2118,Shelby County (New),Cordova Middle,1,2,1,1,5,1
792,2119,Shelby County (New),Cordova High School,1,1,1,1,1,1
792,2126,Shelby County (New),Craigmont High,1,2,1,1,1,1
792,2128,Shelby County (New),Craigmont Middle,1,3,2,2,3,1
792,2130,Shelby County (New),Cromwell Elementary,3,3,5,5,1,1
792,2133,Shelby County (New),Crump Elementary,4,3,4,3,5,2
792,2135,Shelby County (New),Cummings Elementary/Middle,1,2,1,1,1,1
792,2145,Shelby County (New),Delano Elementary,4,4,5,5,2,1
792,2153,Shelby County (New),Double Tree Elementary,4,3,3,3,5,3
792,2155,Shelby County (New),Douglass Elementary/Middle,3,5,3,5,2,2
792,2160,Shelby County (New),Douglass High,2,1,3,1,2,5
792,2162,Shelby County (New),Downtown Elementary,5,3,5,5,3,5
792,2165,Shelby County (New),Dunbar Elementary,5,3,5,5,4,4
792,2180,Shelby County (New),East High,3,4,1,2,3,5
792,2183,Shelby County (New),Egypt Elementary,1,3,1,1,3,3
792,2185,Shelby County (New),Evans Elementary,3,4,2,3,3,3
792,2210,Shelby County (New),Ford Road Elementary,3,3,3,3,4,3
792,2215,Shelby County (New),Fox Meadows Elementary,4,3,3,3,5,1
792,2230,Shelby County (New),Gardenview Elementary,5,4,5,5,2,2
792,2240,Shelby County (New),Geeter Middle,1,5,1,3,1,1
792,2255,Shelby County (New),Georgian Hills Middle,1,3,1,1,1,1
792,2258,Shelby County (New),Germanshire Elementary,5,5,5,5,5,2
792,2259,Shelby County (New),Getwell Elementary,3,3,4,3,5,1
792,2260,Shelby County (New),Goodlett Elementary,3,2,5,3,3,1
792,2285,Shelby County (New),Grahamwood Elementary,4,5,3,5,1,3
792,2310,Shelby County (New),Hamilton Elementary,1,1,1,1,1,1
792,2315,Shelby County (New),Hamilton Middle,1,4,1,1,1,3
792,2317,Shelby County (New),Hamilton High,1,1,1,1,2,3
792,2325,Shelby County (New),Havenview Middle,1,1,3,1,5,1
792,2330,Shelby County (New),Hawkins Mill Elementary,5,4,5,5,3,1
792,2331,Shelby County (New),Hickory Ridge Elementary,5,3,5,5,2,1
792,2333,Shelby County (New),Hickory Ridge Middle,4,4,3,3,5,3
792,2338,Shelby County (New),Hollis F. Price Middle College,5,5,5,5,4,4
792,2343,Shelby County (New),Holmes Road Elementary,5,3,5,5,5,1
792,2353,Shelby County (New),Ida B. Wells Academy ES/MS,2,3,3,3,1,3
792,2355,Shelby County (New),Idlewild Elementary,3,3,4,4,1,4
792,2360,Shelby County (New),Jackson Elementary,3,3,3,3,3,3
792,2362,Shelby County (New),J. P. Freeman Elementary/Middle,1,5,5,5,1,1
792,2368,Shelby County (New),Keystone Elementary,4,3,4,3,5,3
792,2370,Shelby County (New),Kingsbury Elementary,1,3,3,3,1,1
792,2373,Shelby County (New),Kingsbury Middle,5,3,3,3,5,5
792,2375,Shelby County (New),Kingsbury High,1,3,1,1,2,1
792,2379,Shelby County (New),Kirby High,1,1,1,1,1,1
792,2385,Shelby County (New),Knight Road Elementary,5,5,5,5,2,1
792,2395,Shelby County (New),Larose Elementary,5,5,5,5,5,5
792,2435,Shelby County (New),Levi Elementary,1,1,3,1,3,1
792,2463,Shelby County (New),Lucie E. Campbell Elementary,5,5,5,5,4,3
792,2470,Shelby County (New),Magnolia Elementary,2,4,1,3,3,2
792,2480,Shelby County (New),Manassas High,1,3,1,1,1,1
792,2483,Shelby County (New),Manor Lake Elementary,2,1,3,2,3,2
792,2493,Shelby County (New),Melrose High,1,2,1,1,5,4
792,2515,Shelby County (New),Middle College High,5,3,5,5,5,2
792,2520,Shelby County (New),Mitchell High,5,4,4,5,5,3
792,2525,Shelby County (New),Newberry Elementary,3,5,3,4,4,1
792,2540,Shelby County (New),Oakhaven Elementary,4,4,4,5,4,1
792,2543,Shelby County (New),Oakhaven Middle,1,1,1,1,1,1
792,2545,Shelby County (New),Oakhaven High,1,4,1,1,2,3
792,2550,Shelby County (New),Oakshire Elementary,3,3,2,2,5,1
792,2565,Shelby County (New),Overton High,3,1,1,1,5,5
792,2570,Shelby County (New),Peabody Elementary,3,4,4,4,3,1
792,2597,Shelby County (New),Raleigh-Bartlett Meadows Elementary,5,3,4,4,5,3
792,2598,Shelby County (New),Raleigh-Egypt High,5,5,1,3,5,5
792,2600,Shelby County (New),Richland Elementary,5,5,5,5,5,1
792,2610,Shelby County (New),Balmoral/Ridgeway Elementary,2,3,3,3,3,1
792,2612,Shelby County (New),Ridgeway Middle,1,1,3,1,1,1
792,2615,Shelby County (New),Ridgeway High,1,1,1,1,1,3
792,2625,Shelby County (New),Riverview Elementary/Middle,5,5,5,5,5,3
792,2626,Shelby County (New),Robert R. Church Elementary,5,3,5,5,4,3
792,2627,Shelby County (New),Ross Elementary,1,3,1,1,4,2
792,2630,Shelby County (New),Rozelle Elementary,4,3,3,3,5,3
792,2633,Shelby County (New),Scenic Hills Elementary,2,3,4,3,1,1
792,2637,Shelby County (New),Sea Isle Elementary,5,4,4,4,4,3
792,2640,Shelby County (New),Shady Grove Elementary,3,1,5,3,3,2
792,2650,Shelby County (New),Sharpe Elementary,4,2,3,3,5,2
792,2655,Shelby County (New),Sheffield Elementary,1,1,1,1,5,1
792,2660,Shelby County (New),Sheffield High,1,1,1,1,2,1
792,2665,Shelby County (New),Sherwood Elementary,3,3,3,3,4,2
792,2670,Shelby County (New),Sherwood Middle,2,4,3,4,1,1
792,2680,Shelby County (New),Shelby Oaks Elementary,1,2,2,1,3,2
792,2690,Shelby County (New),Snowden Elementary/Middle,5,5,4,5,5,5
792,2692,Shelby County (New),Oak Forest Elementary,2,3,2,3,3,1
792,2695,Shelby County (New),South Park Elementary,1,3,3,3,1,1
792,2705,Shelby County (New),Springdale Elementary,5,5,4,5,3,1
792,2715,Shelby County (New),Treadwell Elementary,3,3,2,3,3,3
792,2717,Shelby County (New),Riverwood Elementary School,5,5,5,5,5,3
792,2723,Shelby County (New),Treadwell Middle School,5,3,5,5,3,5
792,2725,Shelby County (New),Trezevant High,1,1,1,1,1,1
792,2730,Shelby County (New),Vollentine Elementary,4,3,5,4,5,1
792,2740,Shelby County (New),A. Maceo Walker Middle,5,4,5,5,5,1
792,2745,Shelby County (New),Wells Station Elementary,3,4,2,3,5,1
792,2750,Shelby County (New),Westside Elementary,3,5,3,3,5,1
792,2770,Shelby County (New),Westwood High,1,1,1,1,1,1
792,2777,Shelby County (New),White Station Elementary,1,3,2,2,1,3
792,2780,Shelby County (New),White Station High,1,1,1,1,1,1
792,2783,Shelby County (New),White Station Middle,5,4,5,5,5,5
792,2785,Shelby County (New),Whitehaven Elementary,1,3,1,1,4,1
792,2790,Shelby County (New),Whitehaven High,5,5,1,4,5,3
792,2800,Shelby County (New),Willow Oaks Elementary,5,4,5,5,5,3
792,2805,Shelby County (New),Winchester Elementary,3,3,3,3,4,3
792,2810,Shelby County (New),Winridge Elementary,4,2,5,4,5,1
792,2815,Shelby County (New),Wooddale High,1,1,1,1,3,2
792,2824,Shelby County (New),Northwest Prep Academy,1,1,1,1,1,1
792,2830,Shelby County (New),Carver College and Career Academy,1,1,1,1,1,1
792,2832,Shelby County (New),Memphis Virtual School,1,3,1,2,1,3
792,2835,Shelby County (New),Grandview Heights Middle School,5,5,2,3,5,5
792,2836,Shelby County (New),Maxine Smith STEAM Academy,2,5,3,4,1,2
792,2840,Shelby County (New),Westhaven Elementary,5,5,5,5,5,1
792,8110,Shelby County (New),DuBois Middle of Leadership  Public Policy,3,4,1,3,4,5
792,8115,Shelby County (New),DuBois Middle School of Arts  Technology,4,1,1,1,5,1
792,8125,Shelby County (New),DuBois High School of Arts  Technology,1,3,1,1,3,1
792,8130,Shelby County (New),DuBois High of Leadership  Public Policy,5,5,2,5,5,3
792,8135,Shelby County (New),DuBois Elementary School of Entrepreneurship,3,3,3,3,3,3
792,8140,Shelby County (New),DuBois Elementary School of Arts  Technology,3,3,4,4,1,2
792,8145,Shelby County (New),City University School Girls Preparatory,4,3,4,3,5,3
792,8150,Shelby County (New),Arrow Academy of Excellence,3,3,3,3,,
792,8155,Shelby County (New),Freedom Preparatory Academy Elementary School,5,5,4,5,5,3
792,8160,Shelby County (New),Nexus STEM Academy Middle School,1,3,1,1,1,1
792,8170,Shelby County (New),Memphis Delta Preparatory Charter School,3,3,3,3,3,1
792,8201,Shelby County (New),Circles Of Success Learning Academy,5,3,3,3,5,3
792,8202,Shelby County (New),KIPP Memphis Collegiate High School,1,1,3,1,2,3
792,8204,Shelby County (New),City University School Of Liberal Arts,5,4,3,4,5,
792,8205,Shelby County (New),Memphis Academy Of Science  Engineering Middle/High,1,4,1,1,5,1
792,8206,Shelby County (New),Power Center Academy High School,1,1,1,1,3,1
792,8207,Shelby County (New),Memphis Business Academy Elementary School,5,4,5,5,3,1
792,8210,Shelby County (New),Memphis Academy Of Health Sciences,5,5,5,5,5,3
792,8213,Shelby County (New),Memphis Academy of Health Sciences High School,1,4,1,1,1,1
792,8215,Shelby County (New),Memphis Business Academy Middle,1,2,1,1,1,1
792,8217,Shelby County (New),Memphis Business Academy High School,1,3,1,1,2,3
792,8220,Shelby County (New),Power Center Academy Middle,5,5,5,5,5,5
792,8225,Shelby County (New),Promise Academy,1,3,3,3,1,1
792,8228,Shelby County (New),Southern Avenue Charter School Of Academic Excellence  Creat,5,4,5,5,3,3
792,8230,Shelby County (New),Star Academy,1,3,2,2,1,1
792,8232,Shelby County (New),Soulsville Charter School,5,4,4,5,4,3
792,8234,Shelby County (New),Freedom Preparatory Academy,5,5,5,5,5,5
792,8236,Shelby County (New),City University Boys Preparatory,2,2,2,2,4,1
792,8238,Shelby County (New),KIPP Memphis Collegiate Middle,5,5,2,3,5,1
792,8240,Shelby County (New),Memphis College Preparatory,5,3,5,5,3,3
792,8252,Shelby County (New),Memphis School of Excellence,3,3,3,3,1,5
792,8254,Shelby County (New),Veritas College Preparatory,4,4,3,3,3,4
792,8256,Shelby County (New),Aurora Collegiate Academy,1,3,1,1,3,5
792,8258,Shelby County (New),KIPP Memphis Middle Academy,5,5,1,3,4,5
792,8260,Shelby County (New),Memphis Grizzlies Preparatory Charter School,5,5,4,5,5,5
792,8262,Shelby County (New),KIPP Memphis Collegiate Elementary,3,1,4,3,,
792,8264,Shelby County (New),Memphis Rise Academy,5,5,5,5,5,5
792,8265,Shelby County (New),City University School of Independence,2,3,1,2,,
792,8266,Shelby County (New),Vision Preparatory Charter School,1,2,1,1,,
792,8270,Shelby County (New),Power Center Academy Elementary School,1,2,1,1,,
792,8275,Shelby County (New),The Excel Center,1,3,1,1,3,2
792,8280,Shelby County (New),Granville T. Woods Academy of Innovation Charter School,4,2,5,3,5,1
792,8285,Shelby County (New),Leadership Preparatory Charter School,2,2,2,2,,
792,8295,Shelby County (New),Gateway University,1,3,1,1,1,
792,8300,Shelby County (New),Kaleidoscope School of Memphis,2,2,1,1,5,1
792,8305,Shelby County (New),"Legacy Leadership Academy, Inc.",3,4,3,4,1,3
792,8320,Shelby County (New),Southwest Early College High School,5,5,3,5,5,4
793,1,Arlington City,Arlington High,4,1,5,5,1,5
793,5,Arlington City,Arlington Elementary,5,4,5,5,2,5
793,6,Arlington City,Arlington Middle,1,1,1,1,5,3
793,195,Arlington City,Donelson Elementary,5,2,5,5,5,5
794,3,Bartlett City,Altruria Elementary,3,3,5,4,1,5
794,7,Bartlett City,Appling Middle School,5,4,1,2,5,5
794,20,Bartlett City,Bartlett Elementary School,3,3,3,3,3,2
794,25,Bartlett City,Bartlett High School,5,5,5,5,5,4
794,30,Bartlett City,Bon Lin Elementary School,2,4,1,3,1,3
794,33,Bartlett City,Bon Lin Middle School,5,4,3,4,5,5
794,90,Bartlett City,Ellendale Elementary,5,5,5,5,5,5
794,95,Bartlett City,Elmore Park Middle School,4,1,2,1,5,5
794,150,Bartlett City,Oak Elementary,5,3,5,4,5,3
794,155,Bartlett City,Rivercrest Elementary,1,2,2,2,1,3
795,8,Collierville City,Bailey Station Elementary School,3,5,3,5,1,5
795,55,Collierville City,Collierville Elementary School,5,5,5,5,5,4
795,60,Collierville City,Collierville High School,1,1,1,1,1,1
795,63,Collierville City,Collierville Middle School,3,2,3,3,1,5
795,65,Collierville City,Crosswind Elementary School,5,4,3,4,2,5
795,168,Collierville City,Schilling Farms Middle,3,1,2,1,4,5
795,183,Collierville City,Sycamore Elementary School,5,5,5,5,5,5
795,190,Collierville City,Tara Oaks Elementary School,5,5,5,5,5,5
796,70,Germantown City,Dogwood Elementary School,5,2,5,5,1,5
796,100,Germantown City,Farmington Elementary School,5,4,5,5,1,5
796,109,Germantown City,Houston Middle School,5,1,2,1,5,5
796,111,Germantown City,Houston High School,1,1,1,1,1,3
796,160,Germantown City,Riverdale Elementary School,5,5,5,5,2,5
797,116,Lakeland City,Lakeland Elementary School,5,5,3,5,,
797,120,Lakeland City,Lakeland Middle Preparatory School,1,1,1,1,1,1
798,78,Millington City,E.A. Harrold Elementary School,1,1,3,1,3,1
798,123,Millington City,Millington Elementary School,4,3,4,3,5,3
798,130,Millington City,Millington Central High School,2,1,2,1,1,5
798,133,Millington City,Millington Middle School,4,5,5,5,3,1
800,5,Smith County,Carthage Elementary,4,4,3,4,,
800,15,Smith County,Defeated Elementary,4,2,4,3,5,3
800,20,Smith County,Forks River Elementary,3,3,3,3,3,1
800,25,Smith County,Gordonsville High School,1,1,3,1,1,1
800,30,Smith County,Gordonsville Elementary School,1,1,1,1,1,5
800,45,Smith County,Smith County High School,1,1,3,1,1,1
800,51,Smith County,Smith County Middle School,5,3,5,5,5,4
800,60,Smith County,Union Heights Elementary,1,1,3,2,1,3
810,10,Stewart County,Stewart County Middle School,1,3,1,1,2,1
810,15,Stewart County,Dover Elementary,5,5,5,5,3,3
810,17,Stewart County,North Stewart Elementary,5,4,5,5,5,1
810,25,Stewart County,Stewart Co High School,1,3,1,1,4,3
820,25,Sullivan County,Blountville Elementary,3,3,3,3,,
820,30,Sullivan County,Blountville Middle School,1,1,2,1,3,2
820,35,Sullivan County,Bluff City Elementary,2,1,4,2,,
820,40,Sullivan County,Bluff City Middle School,1,1,1,1,2,1
820,55,Sullivan County,Central Heights Elementary,4,3,2,3,5,4
820,60,Sullivan County,Sullivan Central High School,4,3,1,2,5,5
820,75,Sullivan County,Colonial Heights Middle,1,2,3,2,1,4
820,80,Sullivan County,Sullivan East High School,5,5,5,5,3,1
820,85,Sullivan County,Emmett Elementary,5,5,4,5,3,3
820,95,Sullivan County,Holston Elementary,4,4,3,4,3,4
820,100,Sullivan County,Holston Middle School,3,4,3,4,3,1
820,110,Sullivan County,Holston Valley Middle School,1,1,1,1,1,1
